searchSttr;leg1_from;leg1_to;leg1_date;leg2_from;leg2_to;leg2_date;leg3_form;leg3_to;leg3_date;leg4_from;leg4_to;leg4_date;Price;time_in_leg1;time_in_leg2;time_in_leg3;Label;time_in_bue;time_in_mdz;time_in_scl
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-12*MDZ_SCL_2018-07-15*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;MDZ;10/07/18;MDZ;SCL;15/07/18;SCL;POA;21/07/18;2.102;3;5;6;"AEP,EZE;MDZ;SCL";3;5;6
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-10*AEP,EZE_MDZ_2018-07-13*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;10/07/18;AEP,EZE;MDZ;13/07/18;MDZ;POA;21/07/18;2.115;3;3;8;"SCL;AEP,EZE;MDZ";3;8;3
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-10*AEP,EZE_MDZ_2018-07-15*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;10/07/18;AEP,EZE;MDZ;14/07/18;MDZ;POA;21/07/18;2.115;3;4;7;"SCL;AEP,EZE;MDZ";4;7;3
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-10*AEP,EZE_MDZ_2018-07-16*MDZ_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;11/07/18;AEP,EZE;MDZ;15/07/18;MDZ;POA;21/07/18;2.115;4;4;6;"SCL;AEP,EZE;MDZ";4;6;4
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-10*AEP,EZE_MDZ_2018-07-17*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;11/07/18;AEP,EZE;SCL;16/07/18;SCL;POA;21/07/18;2.115;4;5;5;"MDZ;AEP,EZE;SCL";5;4;5
POA_SCL_2018-07-07*SCL_AEP,EZE_2018-07-10*AEP,EZE_MDZ_2018-07-18*MDZ_POA_2018-07-21;POA;MDZ;07/07/18;MDZ;AEP,EZE;12/07/18;AEP,EZE;SCL;17/07/18;SCL;POA;21/07/18;2.115;5;5;4;"MDZ;AEP,EZE;SCL";5;5;4
POA_SCL_2018-07-07*SCL_MDZ_2018-07-11*MDZ_AEP,EZE_2018-07-16*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;11/07/18;MDZ;AEP,EZE;16/07/18;AEP,EZE;POA;21/07/18;2.131;4;5;5;"SCL;MDZ;AEP,EZE";5;5;4
POA_SCL_2018-07-07*SCL_MDZ_2018-07-11*MDZ_AEP,EZE_2018-07-14*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;10/07/18;MDZ;AEP,EZE;13/07/18;AEP,EZE;POA;21/07/18;2.131;3;3;8;"SCL;MDZ;AEP,EZE";8;3;3
POA_SCL_2018-07-07*SCL_MDZ_2018-07-11*MDZ_AEP,EZE_2018-07-17*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;13/07/18;AEP,EZE;MDZ;16/07/18;MDZ;POA;21/07/18;2.131;6;3;5;"SCL;AEP,EZE;MDZ";3;5;6
POA_SCL_2018-07-07*SCL_MDZ_2018-07-14*MDZ_AEP,EZE_2018-07-17*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;12/07/18;AEP,EZE;MDZ;17/07/18;MDZ;POA;21/07/18;2.131;5;5;4;"SCL;AEP,EZE;MDZ";5;4;5
POA_SCL_2018-07-07*SCL_MDZ_2018-07-11*MDZ_AEP,EZE_2018-07-18*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;14/07/18;AEP,EZE;MDZ;17/07/18;MDZ;POA;21/07/18;2.131;7;3;4;"SCL;AEP,EZE;MDZ";3;4;7
POA_SCL_2018-07-07*SCL_MDZ_2018-07-14*MDZ_AEP,EZE_2018-07-18*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;12/07/18;AEP,EZE;MDZ;18/07/18;MDZ;POA;21/07/18;2.131;5;6;3;"SCL;AEP,EZE;MDZ";6;3;5
POA_SCL_2018-07-07*SCL_MDZ_2018-07-15*MDZ_AEP,EZE_2018-07-18*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;13/07/18;AEP,EZE;MDZ;18/07/18;MDZ;POA;21/07/18;2.131;6;5;3;"SCL;AEP,EZE;MDZ";5;3;6
POA_SCL_2018-07-07*SCL_MDZ_2018-07-11*MDZ_AEP,EZE_2018-07-15*AEP,EZE_POA_2018-07-21;POA;SCL;07/07/18;SCL;MDZ;11/07/18;MDZ;AEP,EZE;14/07/18;AEP,EZE;POA;21/07/18;2.185;4;3;7;"SCL;MDZ;AEP,EZE";7;3;4
POA_AEP,EZE_2018-07-07*AEP,EZE_SCL_2018-07-10*SCL_MDZ_2018-07-13*MDZ_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;10/07/18;SCL;MDZ;13/07/18;MDZ;POA;21/07/18;2.216;3;3;8;"AEP,EZE;SCL;MDZ";3;8;3
